,Shares,Cost(Euro/share),Profit(% post 2 years)
88580,Share-EKJrV0,533.2,1
88581,Share-Mf6jb9,308.1,14
88582,Share-52vgys,605.8,16
88583,Share-fq33ot,679.7,11
88584,Share-QaN3Gm,80.7,7
88585,Share-rhKP4d,140.8,19
88586,Share-iNQhhK,818.2,5
88587,Share-wmxcHq,619.9,16
88588,Share-nhd9hH,503.9,16
88589,Share-e71HeN,385.1,15
88590,Share-MGNR4H,628.7,9
88591,Share-uiX8Dc,243.1,12
88592,Share-zRsV2u,751.4,15
88593,Share-Lo6Ku8,542.8,6
88594,Share-FAJUW8,305.0,15
88595,Share-DGOfXQ,958.1,8
88596,Share-3Ox4uX,764.0,3
88597,Share-5EnSMD,43.5,14
88598,Share-U8jNTQ,693.5,17
88599,Share-gblGrw,253.6,3
88600,Share-5aazgb,920.2,14
88601,Share-2vEYP8,170.4,15
88602,Share-Jcb14v,241.4,9
88603,Share-lo39px,435.4,17
88604,Share-i40KIp,244.8,7
88605,Share-BXRKfn,785.9,13
88606,Share-3NIXXI,698.8,8
88607,Share-7xzzN1,211.1,4
88608,Share-YhDeyt,959.4,11
88609,Share-1qzPGZ,693.6,10
88610,Share-hlxwy7,66.2,9
88611,Share-9ZdKqD,877.9,17
88612,Share-zUKwo5,8.8,1
88613,Share-KpyTZE,377.6,15
88614,Share-8Djwuk,341.9,10
88615,Share-E7qTIn,553.9,18
88616,Share-30eCpE,288.2,10
88617,Share-DboAT1,820.8,11
88618,Share-xtG9eL,506.6,12
88619,Share-YrGLxL,238.5,5
88620,Share-J26S5Q,704.7,18
88621,Share-AICn9W,479.2,15
88622,Share-w3RejE,194.3,19
88623,Share-8DGdo4,200.9,6
88624,Share-MTcysL,137.3,12
88625,Share-ixosvz,553.1,4
88626,Share-YVauFB,161.5,1
88627,Share-WtSby6,403.5,5
88628,Share-ZYE4w8,509.7,7
88629,Share-w755Gu,33.2,17
88630,Share-l2yEOW,103.2,7
88631,Share-MnNHZ5,440.0,4
88632,Share-qXT0IV,57.1,5
88633,Share-nM1fi1,65.2,7
88634,Share-ayvSV0,557.7,12
88635,Share-w9HvfQ,549.8,4
88636,Share-uocff3,913.8,7
88637,Share-M5y5ZN,326.9,12
88638,Share-1d4DnQ,317.7,16
88639,Share-1S4Zic,856.8,1
88640,Share-SLnHGR,82.4,19
88641,Share-UQJsW8,88.7,13
88642,Share-u3UXCU,233.7,17
88643,Share-8D2Qwl,670.3,16
88644,Share-Ct01I6,497.2,2
88645,Share-OyE8Nr,465.3,6
88646,Share-Psb4zn,983.6,8
88647,Share-6IkjSA,846.1,4
88648,Share-d8wIF9,485.6,9
88649,Share-ez8z9e,89.1,13
88650,Share-hLLdQs,499.1,5
88651,Share-u0XOpR,500.9,13
88652,Share-eXO5Kg,346.3,8
88653,Share-p0clCF,6.8,8
88654,Share-PIfT0B,144.4,1
88655,Share-rkuWsT,724.4,15
88656,Share-EgTLLE,361.6,8
88657,Share-nc64z7,821.1,19
88658,Share-jyrmHP,215.9,12
88659,Share-3lIlhf,530.2,4
88660,Share-nSbyBI,591.8,2
88661,Share-zPe27I,93.4,3
88662,Share-ucZqac,299.6,10
88663,Share-lTjffd,269.5,3
88664,Share-ABbKRj,55.5,9
88665,Share-Bm1lbU,305.9,19
88666,Share-k23e8F,564.9,9
88667,Share-jOR2G3,954.8,9
88668,Share-gunBxo,885.3,1
88669,Share-biyLeC,232.4,4
88670,Share-J9kb6U,90.9,1
88671,Share-JHHJBy,430.5,16
88672,Share-tzelzv,361.4,5
88673,Share-Rj2YMJ,140.5,19
88674,Share-DYRj5X,328.3,9
88675,Share-tQY3Ep,873.7,2
88676,Share-nTL1K9,516.4,16
88677,Share-j7933q,890.9,3
88678,Share-aZuBWs,401.7,16
88679,Share-dY4ciE,77.2,3
88680,Share-Ay74Uq,736.8,15
88681,Share-ljxUtP,919.7,7
88682,Share-CzpSLj,320.8,16
88683,Share-tLNYFd,25.5,5
88684,Share-R6duhb,60.2,18
88685,Share-xa6Pst,889.5,14
88686,Share-JLX9MY,56.8,2
88687,Share-HmtdEG,723.6,19
88688,Share-kDbKiU,276.2,17
88689,Share-qXXGtZ,676.4,8
88690,Share-JZDHop,812.4,9
88691,Share-adQrjG,568.4,6
88692,Share-lIi6hc,356.6,2
88693,Share-sPLKc9,448.5,7
88694,Share-fn7QS4,378.5,6
88695,Share-YaUeLO,589.6,1
88696,Share-7DtEmr,254.9,18
88697,Share-OyLxrd,795.1,12
88698,Share-w8Ql6Z,898.1,17
88699,Share-JTanLj,609.5,6
88700,Share-cF4PEq,730.6,11
88701,Share-eL6hvm,146.0,8
88702,Share-RciQj5,599.4,6
88703,Share-gAHvAS,947.4,7
88704,Share-uz7EKe,438.0,6
88705,Share-fBjepF,431.8,7
88706,Share-WZQIfu,47.2,7
88707,Share-dPyOqM,629.7,11
88708,Share-zLKdvw,293.1,11
88709,Share-qIVUNx,910.1,10
88710,Share-A9kYGB,784.8,5
88711,Share-CLh4tl,743.1,7
88712,Share-Gcy1q0,999.2,4
88713,Share-0PTPLC,829.2,11
88714,Share-4jXfJI,491.9,7
88715,Share-FRZhb3,295.2,15
88716,Share-mjLUlu,84.6,6
88717,Share-NWZAf8,476.3,7
88718,Share-xYbyap,723.2,11
88719,Share-Ro6eBP,340.6,14
88720,Share-QoX5i1,181.6,6
88721,Share-m7b23i,667.9,15
88722,Share-l3r9Yk,483.4,11
88723,Share-CHsO5f,56.4,3
88724,Share-i2FwR1,963.0,3
88725,Share-3a5CL7,505.2,8
88726,Share-FNy6Mw,189.7,18
88727,Share-8ux4zR,425.2,18
88728,Share-oxa5Dx,647.0,9
88729,Share-kFpGdS,550.6,12
88730,Share-ddQecI,275.0,12
88731,Share-rtpdg6,546.3,9
88732,Share-eopmaL,131.8,16
88733,Share-5u7J4a,895.7,10
88734,Share-Xbwzw6,852.9,6
88735,Share-QPspQE,494.3,10
88736,Share-cgXAyE,824.1,14
88737,Share-okGYuR,476.2,15
88738,Share-t8Ie2r,671.5,4
88739,Share-C2eLxy,824.7,8
88740,Share-Sew7Zf,174.8,15
88741,Share-Ik4w2q,827.0,16
88742,Share-l6lzJM,626.9,12
88743,Share-SBsHNC,658.3,5
88744,Share-E4q4e3,407.1,16
88745,Share-OdXaLJ,965.9,5
88746,Share-OrcMcf,767.4,18
88747,Share-ywk28T,931.8,6
88748,Share-GYV3PW,568.6,18
88749,Share-WhDKNF,815.1,14
88750,Share-hspToS,519.9,2
88751,Share-e18ljq,62.9,9
88752,Share-OQfDTt,35.9,6
88753,Share-YqrrGc,345.1,11
88754,Share-wbrQvu,662.4,7
88755,Share-SDB6yt,869.2,18
88756,Share-1U9P0T,359.1,15
88757,Share-IKzzQa,470.4,15
88758,Share-AsEW9J,986.5,6
88759,Share-arxgv8,108.8,2
88760,Share-UrdIz2,300.3,18
88761,Share-FQElvt,493.4,18
88762,Share-sU09NH,806.6,10
88763,Share-gEPQ8O,441.5,13
88764,Share-dtlNON,63.8,5
88765,Share-b9y2Li,104.7,15
88766,Share-DjSviC,822.4,4
88767,Share-D1qnV4,496.4,9
88768,Share-9QS10f,191.2,2
88769,Share-bifIdM,856.3,7
88770,Share-Wgz3B6,236.5,10
88771,Share-PK6rB9,420.8,13
88772,Share-QLeXqn,697.3,14
88773,Share-B9S2dL,490.3,15
88774,Share-ifB0iL,837.2,6
88775,Share-0Aedv3,638.3,10
88776,Share-kcsgqV,728.3,11
88777,Share-oImxHw,747.8,13
88778,Share-orR8bE,422.9,8
88779,Share-wQiUud,166.1,15
88780,Share-aA69Ma,909.1,5
88781,Share-QS5Gk1,835.9,16
88782,Share-YyapvF,812.0,13
88783,Share-37DtRP,158.0,2
88784,Share-xTYQ9p,364.1,10
88785,Share-14wczu,221.3,4
88786,Share-pZpxel,102.9,13
88787,Share-4nA1fl,89.1,3
88788,Share-k4Z0qQ,787.8,8
88789,Share-9h5Vkl,935.4,2
88790,Share-poodxF,175.6,6
88791,Share-tNBVyw,186.3,6
88792,Share-WONt02,151.7,1
88793,Share-NVgJYW,170.0,10
88794,Share-Z6qKrl,366.9,17
88795,Share-yIirS4,811.5,14
88796,Share-cwJR9Q,859.3,5
88797,Share-iAhfiy,592.8,13
88798,Share-2VYRV1,192.6,10
88799,Share-JhePpv,27.3,3
88800,Share-9Vskz0,402.9,3
88801,Share-hb8c0t,443.7,3
88802,Share-N1MBy1,270.1,8
88803,Share-f7dhec,861.1,16
88804,Share-I9tTwU,776.7,4
88805,Share-YDhGta,216.3,1
88806,Share-KveBCy,860.1,1
88807,Share-UNg2xe,702.3,16
88808,Share-BJg0L6,868.4,17
88809,Share-j2y3ua,760.1,3
88810,Share-uOW3JV,56.3,8
88811,Share-1pPqqa,50.3,14
88812,Share-TzGunS,908.2,16
88813,Share-nUUVHt,429.6,12
88814,Share-hWUeRq,874.4,12
88815,Share-s8HwNY,599.1,12
88816,Share-06EFfu,385.5,4
88817,Share-W2txdu,147.4,7
88818,Share-V2Tf4k,147.7,18
88819,Share-lzRaBs,418.8,10
88820,Share-Y1xvv4,867.5,18
88821,Share-0I50rr,963.1,2
88822,Share-f0VD5S,504.4,5
88823,Share-UIzJec,469.8,4
88824,Share-SNXluX,773.3,2
88825,Share-IVOQT1,151.4,5
88826,Share-yDX03O,78.1,7
88827,Share-1QhTXU,609.7,4
88828,Share-WxvUkm,757.1,6
88829,Share-fzjlSu,455.7,3
88830,Share-VdNmpP,63.9,3
88831,Share-Av45Uc,661.0,11
88832,Share-6Jb3Ic,458.6,13
88833,Share-uQa0eD,707.0,8
88834,Share-ZtmTXz,345.5,18
88835,Share-dBcYSJ,249.7,13
88836,Share-ox1Tq3,171.2,18
88837,Share-qmt7LX,287.0,11
88838,Share-8tzTno,81.3,19
88839,Share-j8TaAV,35.5,4
88840,Share-cgHrHJ,435.9,17
88841,Share-ZQhIAd,129.8,6
88842,Share-ZaOrgE,99.0,11
88843,Share-xiCfmo,265.6,17
88844,Share-C2SgXI,666.0,8
88845,Share-YsZKNi,498.0,8
88846,Share-Dn4G3Q,615.6,11
88847,Share-IcZbcE,267.1,2
88848,Share-3qN3R2,686.4,3
88849,Share-5DnEjj,548.5,3
88850,Share-q2g5qE,660.8,9
88851,Share-dbRLNL,261.5,17
88852,Share-vqm6TF,963.7,5
88853,Share-vimPIs,737.4,12
88854,Share-S94jnB,472.7,14
88855,Share-lLhiNt,323.3,5
88856,Share-6Xh25Y,363.1,17
88857,Share-0jvUcU,458.5,18
88858,Share-EZcZvm,330.8,17
88859,Share-HCCFqm,44.8,16
88860,Share-HlG527,100.5,19
88861,Share-IfB4l5,663.9,15
88862,Share-2DA5VP,876.6,5
88863,Share-vuM8nP,150.1,9
88864,Share-TNkPPC,327.1,9
88865,Share-qmxKXB,280.3,4
88866,Share-lAMbJO,807.3,8
88867,Share-AqbZzw,472.6,1
88868,Share-H7unK2,469.7,9
88869,Share-XKq7aI,53.8,10
88870,Share-xeC7bC,781.6,1
88871,Share-hRiSup,428.8,11
88872,Share-SiZKUo,987.2,13
88873,Share-1rdJjg,436.2,11
88874,Share-pU6C8a,508.7,3
88875,Share-5VrdAq,76.1,4
88876,Share-LN7qD0,61.3,4
88877,Share-yl6Y0R,280.8,15
88878,Share-iHEuMP,293.8,8
88879,Share-A0YyTp,57.9,15
88880,Share-kRPjYw,943.4,13
88881,Share-6gHQfv,30.2,10
88882,Share-d2aBM0,563.9,10
88883,Share-8XL3ua,8.6,3
88884,Share-BdCs8I,583.7,7
88885,Share-awSVXb,735.0,2
88886,Share-5u8dMV,949.3,4
88887,Share-yokWxV,324.3,4
88888,Share-bx6OmV,979.0,5
88889,Share-DTGAHh,911.4,11
88890,Share-HSCvR6,268.4,1
88891,Share-bgIpya,552.4,13
88892,Share-MTImXE,336.5,6
88893,Share-zD3ci9,784.9,2
88894,Share-X5vJTa,683.8,6
88895,Share-Q0NKe9,609.2,9
88896,Share-0U3Ay2,513.3,15
88897,Share-dwx5Ov,141.0,17
88898,Share-HTdXnf,831.5,12
88899,Share-jUEAuR,515.5,7
88900,Share-Px5SOS,380.0,7
88901,Share-1nRRyR,60.3,19
88902,Share-G0oPs4,777.6,10
88903,Share-G4SR7N,245.0,13
88904,Share-59gCd1,500.3,1
88905,Share-k41Gug,744.2,18
88906,Share-4rppSF,53.9,17
88907,Share-phhzPM,255.9,1
88908,Share-IQmvQs,85.5,16
88909,Share-Epmxio,580.8,10
88910,Share-SpYgVa,54.0,11
88911,Share-hVdPL2,695.8,15
88912,Share-WNVqG7,524.4,9
88913,Share-JmCXNR,127.0,1
88914,Share-9u8zOu,437.9,3
88915,Share-U4SUUl,481.5,6
88916,Share-D19HQB,29.5,17
88917,Share-heJla4,291.3,2
88918,Share-MVXMUE,107.4,16
88919,Share-HstbHE,102.8,13
88920,Share-fl8a4n,184.7,19
88921,Share-4AJBl5,192.6,10
88922,Share-Gd2goG,347.4,19
88923,Share-IxGieV,186.2,8
88924,Share-WhFWNX,288.4,4
88925,Share-9STNHP,889.9,19
88926,Share-volnBr,748.6,16
88927,Share-upS9qO,514.6,14
88928,Share-fc5FQn,452.2,9
88929,Share-2y76TF,369.1,4
88930,Share-h4LUnc,65.0,17
88931,Share-yxWjgS,380.9,13
88932,Share-Uv5ZE1,861.4,6
88933,Share-dOda6g,248.3,19
88934,Share-1R8mLm,144.6,10
88935,Share-Yv8UIJ,620.0,7
88936,Share-6sNFDE,124.9,10
88937,Share-kcKmiO,522.6,15
88938,Share-WGaNXC,650.5,8
88939,Share-dXlhzb,744.7,6
88940,Share-DtkkSe,239.0,7
88941,Share-qSNPu3,879.0,1
88942,Share-81wYYl,90.6,19
88943,Share-GDHOPa,320.9,15
88944,Share-hfA0W6,518.4,6
88945,Share-qmlWOI,131.4,1
88946,Share-uPE7TI,733.6,13
88947,Share-VOM0PY,448.4,15
88948,Share-SQ3Um7,858.3,16
88949,Share-HrMRIS,606.2,11
88950,Share-4kkaeq,473.4,17
88951,Share-r2jDOv,954.5,9
88952,Share-9cqDxT,526.0,7
88953,Share-5aJLYq,285.9,18
88954,Share-Ujnm9v,36.9,10
88955,Share-0uo9GL,648.7,14
88956,Share-BvjfRZ,123.9,2
88957,Share-A72IDT,254.1,12
88958,Share-DAxZS1,722.7,19
88959,Share-dRbBHg,270.4,11
88960,Share-SJF0uJ,658.7,16
88961,Share-VNByQ1,751.6,10
88962,Share-PqogfO,466.6,18
88963,Share-EPdDt8,825.5,17
88964,Share-7zA2cA,225.9,3
88965,Share-6m8p7o,527.8,2
88966,Share-dWiA5U,230.3,2
88967,Share-oFzbZ2,656.2,5
88968,Share-PsuOR7,291.6,17
88969,Share-U1VyQH,333.8,17
88970,Share-SON8H2,880.3,11
88971,Share-9kQCBL,341.2,19
88972,Share-DWMSth,308.0,15
88973,Share-8yRnki,787.5,4
88974,Share-EKlXqi,259.0,10
88975,Share-unVHsB,617.9,9
88976,Share-8WkkYR,845.3,11
88977,Share-tomEWQ,334.4,8
88978,Share-iRj41f,467.5,19
88979,Share-Nl2QPp,403.4,9
88980,Share-YFUrTa,114.8,9
88981,Share-u74pUu,242.0,5
88982,Share-4kad2L,161.2,10
88983,Share-8kRu6s,641.8,14
88984,Share-hEKIxn,130.0,17
88985,Share-yXi6tB,73.3,13
88986,Share-WVxT1H,988.7,15
88987,Share-mTMXSg,724.8,6
88988,Share-qBZii7,13.7,1
88989,Share-trukyW,905.1,19
88990,Share-Lkq2VG,989.3,19
88991,Share-FemEq8,46.0,8
88992,Share-ET2Xnu,989.9,4
88993,Share-H3N8zl,229.1,13
88994,Share-lJFq5e,163.8,6
88995,Share-OM8dNf,515.7,10
88996,Share-gv7aKA,329.3,17
88997,Share-nxUWFa,939.4,1
88998,Share-F0x6si,546.9,7
88999,Share-J1Pyz7,84.3,13
89000,Share-IIUvCL,279.9,5
89001,Share-tr2Gzw,476.3,19
89002,Share-uaP0Ln,81.8,8
89003,Share-rVlZIZ,137.9,5
89004,Share-SS3J5L,564.8,3
89005,Share-ho5F8T,721.9,5
89006,Share-xSeCu9,779.5,9
89007,Share-WnNkpn,75.7,3
89008,Share-NF7Gw2,28.7,2
89009,Share-WplufK,122.0,10
89010,Share-1u5YVG,675.1,9
89011,Share-um04x4,328.1,1
89012,Share-MBxQ6d,339.4,19
89013,Share-3zYwIR,539.9,5
89014,Share-72RTsk,154.0,13
89015,Share-lwKB00,733.1,8
89016,Share-JhE5wQ,607.2,8
89017,Share-Hz1Pqu,173.9,7
89018,Share-Pn3WXn,494.0,11
89019,Share-ugBOk0,217.2,15
89020,Share-2UZhC9,857.8,9
89021,Share-yw6U2h,397.7,15
89022,Share-m8QsLJ,126.0,8
89023,Share-e8Edvy,61.7,5
89024,Share-RlC7w0,224.0,4
89025,Share-eRuG2j,634.4,4
89026,Share-jTeQr4,520.2,18
89027,Share-bUep6O,512.0,18
89028,Share-fW1h8V,702.9,11
89029,Share-PLcZZa,707.8,15
89030,Share-JLX84l,570.3,19
89031,Share-xMjq3B,781.8,15
89032,Share-s7sNkr,836.4,2
89033,Share-zXxJKZ,748.3,14
89034,Share-FtxoS7,730.1,15
89035,Share-1QiVzr,392.6,15
89036,Share-GUxKvg,377.1,12
89037,Share-YVhkqa,882.1,2
89038,Share-oi9wQW,779.3,13
89039,Share-ZSnNbN,566.6,17
89040,Share-sUlXo8,949.1,14
89041,Share-5FAwFV,911.4,3
89042,Share-JTjSXD,996.3,6
89043,Share-3FMzFm,894.3,4
89044,Share-e6aK5V,34.8,16
89045,Share-Acekdf,342.5,4
89046,Share-sgouU2,657.8,8
89047,Share-UCxlAv,923.3,3
89048,Share-xZYqM1,602.1,16
89049,Share-ZzT6lz,512.3,15
89050,Share-jSwCRe,723.8,6
89051,Share-Q7DDaN,747.1,5
89052,Share-t486yp,32.8,6
89053,Share-4MeCft,582.5,18
89054,Share-nrqEdW,633.7,16
89055,Share-0JjnZn,68.6,5
89056,Share-1jcV71,752.2,6
89057,Share-4cAaJY,309.1,19
89058,Share-Kizh5O,49.3,19
89059,Share-JXWjsp,187.4,4
89060,Share-Zneaii,149.7,6
89061,Share-tU1SzO,188.2,7
89062,Share-P5Pklx,145.9,14
89063,Share-lJV81U,315.7,13
89064,Share-N0C2uC,832.3,11
89065,Share-dxeSG0,965.7,16
89066,Share-JkbERu,345.1,3
89067,Share-Rfz2nb,808.3,17
89068,Share-xd1DP3,936.2,8
89069,Share-jcCc6f,554.6,18
89070,Share-pBLmPw,126.4,11
89071,Share-gjIyCJ,165.8,1
89072,Share-2Sx0bp,781.8,19
89073,Share-8YUFVg,806.7,13
89074,Share-TPYVfg,459.8,18
89075,Share-JYHZFL,873.2,17
89076,Share-p9DwaO,813.1,3
89077,Share-rX23Uq,661.6,13
89078,Share-G59N5o,498.8,13
89079,Share-zi748Y,198.4,13
89080,Share-vphrce,7.4,4
89081,Share-VX82V4,269.5,8
89082,Share-cz75BU,551.1,8
89083,Share-R2ZMe9,482.6,4
89084,Share-YMLkPg,625.2,19
89085,Share-8Hi4oT,995.4,2
89086,Share-ypN2E1,831.2,16
89087,Share-obKird,224.8,14
89088,Share-y6EmQG,9.3,15
89089,Share-v7SyIQ,403.7,18
89090,Share-ESEL1Z,389.4,13
89091,Share-csDUCb,619.9,17
89092,Share-7XyucY,68.3,4
89093,Share-tK1Pe5,878.2,7
89094,Share-ZLNAr5,734.9,18
89095,Share-YpssjM,993.4,14
89096,Share-wfv2rW,94.0,17
89097,Share-mWxlSX,269.2,15
89098,Share-xV1D2B,711.5,2
89099,Share-naZmoT,310.0,7
89100,Share-PM9KDl,255.6,8
89101,Share-enXsZQ,919.7,15
89102,Share-X72Xgn,587.3,19
89103,Share-OrH0Pw,537.2,8
89104,Share-Ju0N42,956.5,19
89105,Share-9redhT,12.7,18
89106,Share-gClymb,92.1,19
89107,Share-FA1yWo,144.0,18
89108,Share-wIdQ2G,522.8,6
89109,Share-YpL9yK,86.2,16
89110,Share-5ejVg3,600.2,9
89111,Share-xCIusE,472.5,7
89112,Share-OJDLfB,383.9,10
89113,Share-RCvyDe,970.7,13
89114,Share-lJtQGZ,639.1,13
89115,Share-xYsWLX,21.9,4
89116,Share-9XquFz,122.8,4
89117,Share-TdydnV,67.4,19
89118,Share-yNr30d,877.6,16
89119,Share-xHX8Cg,966.3,6
89120,Share-8LUuEk,909.2,13
89121,Share-s9jbF7,233.6,8
89122,Share-R0Zi7C,431.9,18
89123,Share-NQtrOJ,159.2,11
89124,Share-fSxmJK,297.4,2
89125,Share-0h5Tts,260.1,14
89126,Share-qS68cR,381.7,8
89127,Share-hOLUHH,592.1,3
89128,Share-K6qOuT,607.5,10
89129,Share-0XJh2B,359.3,3
89130,Share-d7jneF,786.6,13
89131,Share-FonWIb,44.7,17
89132,Share-PsAchC,670.9,18
89133,Share-z4ysok,121.6,18
89134,Share-e9YuCn,840.7,14
89135,Share-fN4jKR,414.0,7
89136,Share-Nk9tlb,801.7,4
89137,Share-lSBDnw,424.3,7
89138,Share-cuwE9H,219.5,16
89139,Share-TpcPBb,314.6,19
89140,Share-MQfce9,979.7,14
89141,Share-yKvCVB,797.0,19
89142,Share-fEBiDr,98.4,11
89143,Share-d7ixNt,498.2,11
89144,Share-lhatSb,911.5,15
89145,Share-fCbhhS,443.2,19
89146,Share-wLPQxV,426.8,10
89147,Share-Z7kQXG,193.6,8
89148,Share-voKSmy,77.4,14
89149,Share-UzulA6,974.6,6
89150,Share-u0mWLM,934.1,7
89151,Share-qkYXNp,315.3,18
89152,Share-rKqXPd,397.4,17
89153,Share-n1o5l1,90.2,3
89154,Share-QvUczm,11.9,11
89155,Share-forcwN,437.2,11
89156,Share-OOTsVS,14.7,10
89157,Share-EUDdhG,871.1,13
89158,Share-1iNbZl,686.3,1
89159,Share-Gm6H8z,83.2,11
89160,Share-jhMFPh,771.4,14
89161,Share-hqGQa8,906.9,10
89162,Share-klISQX,531.3,4
89163,Share-Nwo5wv,934.3,18
89164,Share-FbJi2t,962.5,17
89165,Share-oOXwCR,786.4,4
89166,Share-bXkbAl,209.6,2
89167,Share-wuhHdt,833.4,18
89168,Share-hMj60e,717.1,19
89169,Share-uXuI8X,971.8,10
89170,Share-nHZvZA,180.4,16
89171,Share-aTSal3,383.0,7
89172,Share-MOSoHL,385.7,7
89173,Share-Mwxelw,590.9,8
89174,Share-tgkEvy,852.6,17
89175,Share-JLNxL8,950.0,14
89176,Share-k2gBGL,365.6,17
89177,Share-6mCnKE,752.1,6
89178,Share-yQAwdM,645.7,2
89179,Share-twkyyN,132.1,19
89180,Share-dgPn7G,3.1,2
89181,Share-0jWIUH,106.6,10
89182,Share-fGNY0m,290.8,12
89183,Share-fDcgXY,541.6,12
89184,Share-mwKBp9,226.0,14
89185,Share-X9EZFP,46.6,13
89186,Share-XxKeuv,769.4,15
89187,Share-DYCytE,756.8,8
89188,Share-MqUVba,678.9,1
89189,Share-28P7r0,434.1,13
89190,Share-0Jnfob,190.2,10
89191,Share-UTUJUU,727.6,12
89192,Share-O5Kjwr,982.3,5
89193,Share-4ZfMwu,796.4,16
89194,Share-yb0jyg,610.6,3
89195,Share-NWm0yt,405.7,1
89196,Share-ZJz2VZ,411.6,6
89197,Share-brneD1,648.9,6
89198,Share-psCIjD,377.6,9
89199,Share-9GlEja,705.9,18
89200,Share-8UzKcj,928.0,16
89201,Share-QhyvDG,309.3,1
89202,Share-da5Ra6,811.1,18
89203,Share-tmtfS7,718.7,4
89204,Share-DmeQy3,43.3,1
89205,Share-SYDuXR,323.8,12
89206,Share-qZE2vg,991.2,13
89207,Share-DgA1UP,667.7,8
89208,Share-oKQJMt,526.7,13
89209,Share-NdXHrj,683.4,18
89210,Share-pqTiPK,646.2,5
89211,Share-s391t0,731.1,6
89212,Share-Hp6PqJ,522.6,3
89213,Share-nt9cpm,159.0,14
89214,Share-Uge1vQ,454.6,8
89215,Share-8c4o9c,462.4,18
89216,Share-a5HnWa,527.2,15
89217,Share-WBviCb,248.8,7
89218,Share-Ar7HKZ,461.8,12
89219,Share-oMhiQu,829.1,5
89220,Share-mw0mII,490.0,18
89221,Share-QJnubf,87.4,12
89222,Share-xFO9ZQ,880.8,15
89223,Share-VruP8M,959.4,3
89224,Share-gvUeGu,787.0,7
89225,Share-eFYgQb,75.1,12
89226,Share-bh0iMi,183.2,6
89227,Share-k4VRaO,64.3,1
89228,Share-EU7FHr,506.1,1
89229,Share-O7UygW,295.4,16
89230,Share-vh1Z6d,262.5,13
89231,Share-AMPFMg,949.7,9
89232,Share-MmxPjM,305.3,11
89233,Share-gzqMD5,173.1,7
89234,Share-hSNhBM,313.3,9
89235,Share-tZm9N1,505.5,15
89236,Share-mNpHqb,147.3,5
89237,Share-8sZ5u0,559.0,14
89238,Share-AuFGdC,605.3,1
89239,Share-ODpbLa,503.0,18
89240,Share-OLkeA0,406.9,16
89241,Share-sRi2Ml,938.5,1
89242,Share-hhlz46,595.4,3
89243,Share-37D7gJ,652.4,9
89244,Share-LQ7UQ4,445.0,16
89245,Share-F7FLDN,977.1,12
89246,Share-8wWMfz,800.4,11
89247,Share-HXhlJG,650.3,13
89248,Share-MrU7kh,760.9,2
89249,Share-uO2yDA,4.9,5
89250,Share-lZvIOD,622.0,10
89251,Share-GqefSI,374.5,17
89252,Share-pTmUD5,877.1,4
89253,Share-Zzh779,507.4,6
89254,Share-dDMqBm,328.0,14
89255,Share-21QVrS,930.4,11
89256,Share-tW6HvL,637.0,9
89257,Share-bltsYf,636.3,4
89258,Share-NPwYSM,710.8,13
89259,Share-1PPf46,939.9,18
89260,Share-DyNYEe,415.8,4
89261,Share-lrdTEj,687.3,4
89262,Share-At96iz,998.3,1
89263,Share-z3vMbw,757.8,6
89264,Share-i9JPgL,861.1,11
89265,Share-Yh8gXU,291.1,18
89266,Share-z4eXcn,480.1,13
89267,Share-yKh8gc,940.3,10
89268,Share-DTGErw,365.5,9
89269,Share-catGXu,643.2,10
89270,Share-dNuTGu,414.1,19
89271,Share-6qTtKY,765.0,12
89272,Share-5qHhw6,562.8,1
89273,Share-1zSfC9,481.0,5
89274,Share-yWrM41,828.2,5
89275,Share-0oPLCR,537.2,6
89276,Share-9oCbZ5,903.0,12
89277,Share-65TUHl,737.2,9
89278,Share-uchhQU,161.9,13
89279,Share-um3os9,995.6,17
89280,Share-H8hjWi,607.3,1
89281,Share-OxIRtU,904.6,1
89282,Share-BHUHPl,855.7,15
89283,Share-2QNvVR,528.6,10
89284,Share-vSEqpa,529.3,5
89285,Share-h9eLtp,913.3,15
89286,Share-Jmt9D1,579.0,11
89287,Share-UO1eBz,937.7,6
89288,Share-eq2EK6,946.3,7
89289,Share-kbbfNe,824.4,19
89290,Share-oFBQoB,761.6,6
89291,Share-nmWEwh,906.4,11
89292,Share-ITDhWQ,419.2,3
89293,Share-1zw4tj,394.3,11
89294,Share-GPMGnW,546.2,6
89295,Share-FPxH7z,319.9,9
89296,Share-c32nPf,413.1,11
89297,Share-q84NqP,264.0,1
89298,Share-2l5lkF,677.5,3
89299,Share-O8Qmst,397.5,11
89300,Share-DdZGOh,135.2,2
89301,Share-931xJU,736.6,13
89302,Share-46ed5I,549.2,8
89303,Share-EqDWUO,242.6,9
89304,Share-iX1U0n,539.5,2
89305,Share-ockPq9,757.6,12
89306,Share-y5kQbg,876.0,2
89307,Share-onhwwC,432.6,8
89308,Share-SOA7Hj,522.7,10
89309,Share-Mq4vUb,216.8,6
89310,Share-l7G1L6,670.2,15
89311,Share-9BwFlg,24.4,13
89312,Share-vwtabk,659.9,19
89313,Share-yMb8yf,107.6,13
89314,Share-ZS3Ru5,638.0,7
89315,Share-MB9xRg,499.6,6
89316,Share-YlrcYl,292.4,6
89317,Share-XRZefs,6.5,14
89318,Share-HI4bJk,659.0,6
